reaction,count
Off label use,123104
Drug ineffective,93038
Fatigue,73526
Product dose omission issue,66311
Nausea,63593
Diarrhoea,62298
Death,60647
Headache,50565
Dyspnoea,47189
Pruritus,46617
Pain,46227
Arthralgia,44112
Rash,41987
Vomiting,41380
Condition aggravated,40956
Dizziness,38794
Inappropriate schedule of product administration,37254
Injection site pain,34770
Product use in unapproved indication,33901
Pneumonia,33514
Malaise,33422
Incorrect dose administered,33398
Asthenia,31760
Pyrexia,30512
Cough,30223
Fall,28594
Weight decreased,25932
Illness,24360
Constipation,23223
Decreased appetite,22662
